,Unnamed: 0_x,Unnamed: 0.1,GISJOIN,COUNTY,Median age: Total,total_population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,No schooling completed,Regular high school diploma,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,English only,Spanish,In labor force: Civilian labor force: Unemployed,Below Poverty Line,longitude,latitude,Unnamed: 0_y,percapita-income
0,0,0,17001,Adams County,41.5,66787,93.0,4.0,0.0,1.0,0.0,13.0,42.0,5.0,0.0,21.0,6.0,10.0,5.0,1.0,0.0,40.0,0.0,3.0,13.0,-91.18848885896057,39.98789405395628,0,27256
1,1,1,17003,Alexander County,42.3,6776,62.0,35.0,1.0,0.0,0.0,12.0,29.0,2.0,1.0,19.0,7.000000000000001,6.0,1.0,0.0,0.0,35.0,0.0,3.0,33.0,-89.3376425276798,37.19159920064584,1,18564
2,2,2,17005,Bond County,40.4,17034,91.0,6.0,0.0,1.0,0.0,10.0,39.0,4.0,0.0,22.0,7.000000000000001,9.0,4.0,0.0,1.0,35.0,1.0,2.0,14.000000000000002,-89.43554946405249,38.88681658214825,2,24473
3,3,3,17007,Boone County,38.3,53638,88.0,2.0,0.0,1.0,0.0,7.000000000000001,40.0,5.0,1.0,19.0,5.0,9.0,4.0,1.0,0.0,28.000000000000004,5.0,4.0,10.0,-88.82336339204392,42.323079652409454,3,29029
4,4,4,17009,Brown County,38.7,6791,76.0,22.0,0.0,1.0,0.0,9.0,32.0,5.0,0.0,24.0,7.000000000000001,7.000000000000001,2.0,0.0,0.0,30.0,0.0,2.0,8.0,-90.75034227446407,39.961811618694,4,21906
5,5,5,17011,Bureau County,43.7,33619,94.0,1.0,0.0,1.0,0.0,11.0,45.0,5.0,1.0,24.0,7.000000000000001,9.0,3.0,1.0,0.0,38.0,2.0,3.0,12.0,-89.52867749479212,41.40415242625893,5,28332
6,6,6,17013,Calhoun County,46.5,4897,97.0,0.0,0.0,1.0,0.0,11.0,44.0,2.0,0.0,30.0,7.000000000000001,6.0,4.0,0.0,0.0,38.0,0.0,2.0,12.0,-90.6675297781396,39.169295297568006,6,25660
7,7,7,17015,Carroll County,47.4,14704,96.0,1.0,0.0,1.0,0.0,14.000000000000002,47.0,4.0,1.0,27.0,7.000000000000001,8.0,3.0,1.0,0.0,43.0,1.0,3.0,11.0,-89.93441325800897,42.068685741627114,7,27605
8,8,8,17017,Cass County,40.2,12880,91.0,5.0,0.0,0.0,0.0,11.0,39.0,7.000000000000001,1.0,27.0,4.0,6.0,2.0,0.0,0.0,34.0,6.0,4.0,13.0,-90.24738573592589,39.97356546012582,8,25451
9,9,9,17019,Champaign County,29.7,207946,73.0,13.0,0.0,10.0,0.0,14.000000000000002,31.0,4.0,0.0,11.0,5.0,13.0,8.0,2.0,3.0,32.0,2.0,3.0,20.0,-88.19919185196234,40.140083850585405,9,28463
10,10,10,17021,Christian County,42.7,33562,97.0,2.0,0.0,1.0,0.0,12.0,39.0,7.000000000000001,0.0,25.0,6.0,8.0,3.0,0.0,0.0,40.0,0.0,2.0,12.0,-89.27726813211413,39.54579330569296,10,25614
11,11,11,17023,Clark County,43.0,15924,97.0,0.0,0.0,1.0,0.0,11.0,45.0,6.0,0.0,23.0,9.0,8.0,3.0,0.0,1.0,42.0,1.0,3.0,14.000000000000002,-87.78772274644129,39.333566949690386,11,28495
12,12,12,17025,Clay County,44.0,13393,98.0,1.0,0.0,1.0,0.0,12.0,44.0,8.0,1.0,21.0,9.0,8.0,2.0,0.0,0.0,40.0,1.0,2.0,14.000000000000002,-88.4901923924494,38.75416236522291,12,25700
